SEKOLAH KEBANGSAAN ST THOMAS,CBB4027,null
SEKOLAH KEBANGSAAN ASSUNTA CONVENT,CBB4029,null
SEKOLAH JENIS KEBANGSAAN (CINA) SEMAMBU,CBC4040,null
SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHAI,CBC4043,null
SEKOLAH KEBANGSAAN  RTP BUKIT GOH,CBA4100,null
SEKOLAH MENENGAH KEBANGSAAN SERI PANCHING,CEA4073,null
SEKOLAH MENENGAH KEBANGSAAN TG PANGLIMA PERANG TG MUHAMMAD,CEA4075,null
SEKOLAH MENENGAH KEBANGSAAN TOK SERA,CEA4079,null
SEKOLAH MENENGAH KEBANGSAAN BUKIT RANGIN,CEA4081,null
SEKOLAH KEBANGSAAN SULTAN ABDULLAH,CBB4026,null
SEKOLAH MENENGAH KEBANGSAAN SULTANAH HAJJAH KALSOM,CEA4086,null
SEKOLAH MENENGAH KEBANGSAAN SUNGAI BAGING,CEA4091,null
SEKOLAH MENENGAH KEBANGSAAN MAT KILAU,CEA4092,null
SEKOLAH MENENGAH KEBANGSAAN GAMBANG,CEA4095,null
SEKOLAH MENENGAH KEBANGSAAN ST THOMAS,CEB4033,null
SEKOLAH MENENGAH AGAMA AL MAARIF,CFT4001,null
MAAHAD TAHFIZ DARUL ULUM AL-BASRIYAH,CFT4002,null
SEKOLAH KEBANGSAAN BUNUT RENDANG,CBA4106,null
SEKOLAH MENENGAH KEBANGSAAN SUNGAI ISAP MURNI,CEA4098,null
SEKOLAH KEBANGSAAN TELOK IRA,CBA7056,null
SEKOLAH KEBANGSAAN BATU BOR,CBAA153,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) MENTAKAB,CBD7089,null
SEKOLAH MENENGAH KEBANGSAAN SEBERANG TEMERLOH,CEA7160,null
SEKOLAH MENENGAH KEBANGSAAN MENTAKAB,CEE7070,null
SEKOLAH KEBANGSAAN BANGAU,CBA7030,null
SEKOLAH KEBANGSAAN MENTAKAB JAYA,CBA7159,null
SEKOLAH KEBANGSAAN BOLOK,CBA7012,null
SEKOLAH KEBANGSAAN SANGGANG,CBA7015,null
