SEKOLAH KEBANGSAAN KAMPUNG GUDANG,ABA6025
SEKOLAH KEBANGSAAN KAMPUNG REPOH,ABA6026
SEKOLAH KEBANGSAAN KAMPUNG YAMAN,ABA6027
SEKOLAH KEBANGSAAN KAMPUNG RELANG,ABA6028
SEKOLAH KEBANGSAAN JELAI,ABA6029
SEKOLAH KEBANGSAAN PANTAI BESAR,ABA6030
SEKOLAH KEBANGSAAN PONDOK TANJONG,ABA6031
SEKOLAH KEBANGSAAN ULU SEPETANG,ABA6032
SEKOLAH KEBANGSAAN HAJI WAN JAAFAR,ABA6033
SEKOLAH KEBANGSAAN SUNGAI JERNIH,ABA6034
SEKOLAH KEBANGSAAN SRI KURAU,ABA6035
SEKOLAH KEBANGSAAN SRI SELAMA,ABA6036
SEKOLAH KEBANGSAAN TEBING TINGGI,ABA6037
SEKOLAH KEBANGSAAN SUNGAI DENDANG,ABA6038
SEKOLAH KEBANGSAAN BAGAN BAHARU,ABA6039
SEKOLAH KEBANGSAAN RANTAU PANJANG,ABA6040
SEKOLAH KEBANGSAAN ULU MENGKUANG,ABA6041
SEKOLAH KEBANGSAAN BANGGOL JAS,ABA6042
SEKOLAH KEBANGSAAN SUNGAI BAYOR,ABA6043
SEKOLAH KEBANGSAAN TOH RAKNA SAKTI,ABA6044
SEKOLAH KEBANGSAAN SUNGAI SIPUTEH,ABA6045
SEKOLAH KEBANGSAAN SULTAN IDRIS II,ABA6046
SEKOLAH KEBANGSAAN BUKIT BERTAM,ABA6047
SEKOLAH KEBANGSAAN SUNGAI ARA,ABA6049
SEKOLAH KEBANGSAAN (RTBK) PONDOK TANJONG,ABA6050
SEKOLAH KEBANGSAAN KAMUNTING,ABA6051
SEKOLAH KEBANGSAAN PENDIDIKAN KHAS TAIPING,ABA6052
SEKOLAH KEBANGSAAN PENGKALAN AUR,ABA6053
SEKOLAH KEBANGSAAN AYER PUTEH,ABA6054
SEKOLAH KEBANGSAAN BUKIT JANA,ABA6055
SEKOLAH KEBANGSAAN KAMPUNG JAMBU,ABA6056
SEKOLAH KEBANGSAAN PERMATANG RAJA,ABA6057
SEKOLAH KEBANGSAAN TAMAN PANGLIMA,ABA6058
SEKOLAH KEBANGSAAN TAMAN JANA,ABA6059
SEKOLAH KEBANGSAAN KAMPUNG BOYAN,ABA6060
SEKOLAH KEBANGSAAN TAMAN PALMA,ABA6061
SEKOLAH KEBANGSAAN KEROH,ABA7001
SEKOLAH KEBANGSAAN KUAK HULU,ABA7002
SEKOLAH KEBANGSAAN KUAK LUAR,ABA7003
SEKOLAH KEBANGSAAN BEKUAI,ABA7004
